Order ID,Order Date,City,Customer Type,Meal Type,Cuisine,Restaurant,Items Ordered,Order Amount,Delivery Fee,Total Amount,Delivery Time (min),Payment Method,Customer Rating
FD-00198,2025-01-16 16:17:00,Riyadh,Normal,Snack,American,Pasta House,4,77.46,13.59,92.54,46,Cash,8.5
FD-00199,2025-05-23 12:09:00,Khobar,Normal,Lunch,Saudi,Daily Dish,2,99.38,5.87,108.55,29,Credit Card,10.0
FD-00200,2025-09-05 18:35:00,Makkah,Member,Dinner,Italian,Rice & Spice,6,292.65,8.46,301.67,42,Credit Card,9.7
FD-00201,2025-04-02 17:36:00,Jeddah,Normal,Snack,Italian,Green Bowl,3,117.56,11.24,128.18,45,Credit Card,8.0
FD-00202,2025-10-18 09:18:00,Dammam,Normal,Breakfast,Asian,Najd Kitchen,4,66.96,12.56,84.3,38,E-Wallet,9.2
FD-00203,2025-11-18 09:14:00,Jeddah,Member,Breakfast,Italian,Green Bowl,1,22.19,9.01,35.89,31,Cash,9.1
FD-00204,2025-04-28 12:51:00,Riyadh,Normal,Lunch,Asian,Burger Hub,1,49.38,4.19,57.97,35,Cash,9.0
FD-00205,2025-12-12 15:04:00,Khobar,Member,Lunch,Asian,Family Grill,8,292.01,9.86,303.35,15,Credit Card,9.5
FD-00206,2025-05-19 21:34:00,Khobar,Normal,Dinner,Italian,Pasta House,3,147.9,7.62,153.2,41,E-Wallet,9.0
FD-00207,2025-01-26 18:49:00,Khobar,Normal,Snack,American,Burger Hub,8,121.35,12.85,125.47,21,E-Wallet,9.2
FD-00208,2025-11-23 13:44:00,Jeddah,Normal,Lunch,Saudi,Pasta House,5,212.92,4.5,225.12,38,E-Wallet,8.6
FD-00209,2025-04-30 16:35:00,Jeddah,Member,Snack,Saudi,Green Bowl,2,51.89,12.98,61.71,24,E-Wallet,9.2
FD-00210,2025-10-08 15:44:00,Dammam,Normal,Lunch,Asian,Family Grill,3,104.53,14.12,115.24,33,Credit Card,9.3
FD-00211,2025-04-21 20:39:00,Khobar,Member,Dinner,Asian,Daily Dish,2,97.42,4.28,99.68,49,E-Wallet,8.1
FD-00212,2025-04-06 22:00:00,Dammam,Member,Dinner,Healthy,Burger Hub,1,26.32,10.78,35.79,46,Credit Card,7.7
FD-00213,2025-07-10 07:18:00,Jeddah,Member,Breakfast,Saudi,Taste of Jeddah,1,29.38,4.92,35.17,39,E-Wallet,9.0
FD-00214,2025-03-21 14:16:00,Makkah,Member,Lunch,Healthy,Family Grill,5,75.43,13.0,89.77,37,E-Wallet,7.7
FD-00215,2025-10-07 21:12:00,Makkah,Normal,Dinner,Italian,Pasta House,6,106.64,11.06,120.39,27,Credit Card,8.7
FD-00216,2025-01-11 15:58:00,Makkah,Normal,Lunch,Asian,Rice & Spice,6,197.26,14.98,212.77,21,Credit Card,9.3
FD-00217,2025-03-16 13:04:00,Makkah,Member,Lunch,American,Pasta House,1,35.56,6.5,47.3,15,Cash,9.6
FD-00218,2025-12-20 22:35:00,Jeddah,Normal,Dinner,Saudi,Green Bowl,7,254.68,13.65,272.01,41,Credit Card,8.6
FD-00219,2025-02-15 21:42:00,Riyadh,Normal,Dinner,American,Burger Hub,1,38.02,4.96,49.82,25,E-Wallet,10.0
FD-00220,2025-11-25 10:33:00,Khobar,Normal,Breakfast,Saudi,Rice & Spice,7,172.28,6.41,177.37,32,E-Wallet,8.5
FD-00221,2025-01-30 19:25:00,Jeddah,Member,Dinner,Italian,Pasta House,8,269.32,6.59,276.83,37,E-Wallet,7.8
FD-00222,2025-09-09 09:08:00,Makkah,Member,Breakfast,Healthy,Taste of Jeddah,4,88.23,7.39,95.93,37,E-Wallet,8.7
FD-00223,2025-03-02 13:18:00,Khobar,Normal,Lunch,Saudi,Najd Kitchen,2,102.88,4.99,100.78,42,E-Wallet,9.2
FD-00224,2025-02-08 19:07:00,Dammam,Member,Dinner,Healthy,Pasta House,7,185.15,9.89,187.65,47,E-Wallet,7.9
FD-00225,2025-02-23 15:43:00,Riyadh,Normal,Lunch,American,Taste of Jeddah,7,148.89,14.63,158.25,38,Credit Card,8.4
FD-00226,2025-05-14 15:10:00,Makkah,Normal,Lunch,American,Rice & Spice,2,92.07,6.59,100.59,40,Credit Card,7.6
FD-00227,2025-07-18 18:56:00,Makkah,Member,Snack,Healthy,Najd Kitchen,6,89.72,13.8,103.76,42,Cash,9.3
FD-00228,2025-11-08 14:53:00,Riyadh,Normal,Lunch,Healthy,Urban Bites,3,121.93,5.42,125.93,49,Credit Card,7.6
FD-00229,2025-01-20 20:03:00,Makkah,Member,Dinner,Italian,Green Bowl,4,188.7,8.59,203.07,47,E-Wallet,8.6
FD-00230,2025-03-25 16:20:00,Jeddah,Member,Snack,Asian,Taste of Jeddah,5,64.29,11.53,74.82,29,E-Wallet,9.8
FD-00231,2025-06-30 18:36:00,Riyadh,Normal,Dinner,American,Green Bowl,3,91.3,11.5,101.5,42,E-Wallet,7.9
FD-00232,2025-08-11 15:13:00,Jeddah,Normal,Lunch,Healthy,Rice & Spice,7,246.74,8.12,259.06,49,E-Wallet,7.3
FD-00233,2025-01-18 16:45:00,Dammam,Normal,Snack,American,Daily Dish,2,61.44,14.98,84.17,55,Cash,8.6
FD-00234,2025-01-11 07:17:00,Khobar,Member,Breakfast,Saudi,Wok Express,4,106.88,11.15,124.51,36,E-Wallet,8.5
FD-00235,2025-02-16 17:26:00,Jeddah,Member,Snack,American,Daily Dish,7,238.64,5.96,247.17,33,Credit Card,8.2
FD-00236,2025-06-08 21:56:00,Khobar,Normal,Dinner,Italian,Family Grill,2,75.93,11.08,95.85,28,E-Wallet,7.7
FD-00237,2025-07-21 19:06:00,Makkah,Normal,Dinner,Healthy,Green Bowl,1,28.46,6.38,28.2,41,Credit Card,8.4
FD-00238,2025-07-21 13:09:00,Riyadh,Normal,Lunch,American,Rice & Spice,3,140.02,13.4,151.56,31,Credit Card,8.3
FD-00239,2025-11-25 14:17:00,Dammam,Normal,Lunch,Italian,Wok Express,6,233.46,7.02,234.28,33,Credit Card,7.9
FD-00240,2025-07-14 13:14:00,Jeddah,Normal,Lunch,Healthy,Wok Express,7,219.95,14.0,238.2,47,E-Wallet,8.0
FD-00241,2025-08-12 19:00:00,Jeddah,Normal,Dinner,Healthy,Burger Hub,6,215.32,7.91,218.74,36,Cash,9.6
FD-00242,2025-02-20 15:42:00,Khobar,Member,Lunch,Italian,Wok Express,1,23.9,8.56,25.41,54,Cash,7.5
FD-00243,2025-08-09 14:26:00,Makkah,Member,Lunch,Saudi,Wok Express,7,161.28,9.54,171.21,22,E-Wallet,9.2
FD-00244,2025-03-15 18:27:00,Khobar,Normal,Snack,Saudi,Burger Hub,2,65.42,11.62,76.68,31,Credit Card,9.2
FD-00245,2025-04-22 07:13:00,Jeddah,Member,Breakfast,Saudi,Najd Kitchen,1,14.72,5.76,30.87,34,Credit Card,8.5
FD-00246,2025-10-05 17:25:00,Riyadh,Member,Snack,Italian,Urban Bites,7,157.08,7.66,157.01,27,Cash,9.5
FD-00247,2025-07-08 14:37:00,Riyadh,Normal,Lunch,Asian,Najd Kitchen,7,187.08,11.5,196.32,30,E-Wallet,9.7
FD-00248,2025-08-29 12:45:00,Riyadh,Normal,Lunch,American,Wok Express,7,405.31,5.96,402.72,35,Cash,7.9
FD-00249,2025-09-04 15:09:00,Makkah,Member,Lunch,Asian,Daily Dish,5,104.7,5.74,107.37,30,Credit Card,7.4
FD-00250,2025-09-01 15:46:00,Dammam,Member,Lunch,Asian,Wok Express,2,64.2,4.54,68.87,21,E-Wallet,8.2
FD-00251,2025-03-09 08:41:00,Dammam,Member,Breakfast,American,Najd Kitchen,3,46.64,9.51,56.01,45,Cash,10.0
FD-00252,2025-06-01 22:33:00,Khobar,Member,Dinner,American,Daily Dish,5,228.28,5.25,235.27,27,Credit Card,8.6
FD-00253,2025-05-23 18:52:00,Riyadh,Member,Dinner,American,Daily Dish,7,126.61,11.18,134.55,29,E-Wallet,8.7
FD-00254,2025-08-26 22:00:00,Khobar,Member,Dinner,American,Family Grill,5,182.71,12.23,190.28,33,Cash,9.2
FD-00255,2025-09-29 21:57:00,Riyadh,Normal,Dinner,Asian,Wok Express,6,323.35,4.84,335.73,48,Cash,7.9
FD-00256,2025-04-06 13:05:00,Dammam,Normal,Lunch,American,Family Grill,1,17.55,9.07,29.86,29,Credit Card,8.7
FD-00257,2025-10-29 14:02:00,Riyadh,Member,Lunch,Italian,Family Grill,5,218.24,12.86,228.88,46,Credit Card,8.3
FD-00258,2025-09-19 22:33:00,Riyadh,Member,Dinner,American,Wok Express,6,121.48,14.72,143.0,36,Credit Card,8.0
FD-00259,2025-01-12 16:59:00,Riyadh,Member,Snack,Asian,Urban Bites,4,150.93,12.16,164.64,24,Credit Card,8.7
FD-00260,2025-06-14 13:19:00,Dammam,Member,Lunch,Saudi,Daily Dish,8,266.11,10.79,273.49,34,E-Wallet,8.4
FD-00261,2025-01-14 14:19:00,Riyadh,Member,Lunch,Asian,Daily Dish,2,52.09,5.79,65.34,28,E-Wallet,8.7
FD-00262,2025-04-08 20:29:00,Khobar,Normal,Dinner,Saudi,Urban Bites,4,77.78,4.87,82.29,40,E-Wallet,7.8
FD-00263,2025-02-13 21:57:00,Riyadh,Normal,Dinner,Saudi,Burger Hub,6,188.28,11.53,194.94,44,E-Wallet,8.0
FD-00264,2025-02-27 19:03:00,Makkah,Normal,Dinner,Italian,Green Bowl,5,194.41,8.8,201.27,27,Cash,7.8
FD-00265,2025-02-19 21:24:00,Riyadh,Normal,Dinner,Healthy,Green Bowl,3,93.43,9.48,112.27,36,Credit Card,8.1
FD-00266,2025-08-21 17:43:00,Makkah,Member,Snack,Asian,Green Bowl,2,48.65,7.35,59.33,28,Cash,8.7
FD-00267,2025-12-18 14:37:00,Riyadh,Normal,Lunch,Asian,Rice & Spice,3,135.44,11.45,151.26,32,Cash,8.3
FD-00268,2025-12-12 17:32:00,Dammam,Member,Snack,Saudi,Pasta House,8,91.6,12.83,105.41,30,Credit Card,9.5
FD-00269,2025-10-31 09:03:00,Khobar,Normal,Breakfast,Asian,Wok Express,7,261.58,14.43,277.07,42,Credit Card,7.8
FD-00270,2025-06-08 21:51:00,Khobar,Member,Dinner,American,Wok Express,5,101.25,10.23,114.73,41,Cash,8.3
FD-00271,2025-08-04 22:33:00,Khobar,Normal,Dinner,Healthy,Family Grill,1,36.93,9.8,47.09,32,Credit Card,6.1
FD-00272,2025-01-09 12:18:00,Riyadh,Member,Lunch,Saudi,Taste of Jeddah,1,27.15,11.17,41.3,45,E-Wallet,8.8
FD-00273,2025-05-20 15:27:00,Jeddah,Normal,Lunch,Asian,Urban Bites,7,113.53,13.96,134.99,20,Cash,9.2
FD-00274,2025-06-13 13:26:00,Riyadh,Member,Lunch,Italian,Wok Express,3,77.32,7.41,74.67,44,E-Wallet,8.4
FD-00275,2025-05-25 12:27:00,Riyadh,Normal,Lunch,Italian,Taste of Jeddah,4,203.58,12.79,219.07,50,Cash,7.5
FD-00276,2025-03-01 12:48:00,Makkah,Member,Lunch,Healthy,Family Grill,6,119.7,14.58,136.62,31,E-Wallet,8.5
FD-00277,2025-10-18 15:06:00,Jeddah,Member,Lunch,Asian,Green Bowl,8,241.07,7.46,247.36,46,Credit Card,8.2
FD-00278,2025-08-16 19:16:00,Riyadh,Normal,Dinner,Italian,Green Bowl,2,104.26,9.28,110.1,26,E-Wallet,8.8
FD-00279,2025-05-17 16:43:00,Khobar,Normal,Snack,Asian,Green Bowl,7,108.31,8.2,119.47,31,Credit Card,9.1
FD-00280,2025-05-29 22:32:00,Dammam,Normal,Dinner,Saudi,Green Bowl,3,156.68,6.85,154.66,47,Cash,7.3
FD-00281,2025-04-14 20:49:00,Jeddah,Normal,Dinner,Saudi,Green Bowl,1,27.51,5.78,35.86,34,Cash,8.6
FD-00282,2025-12-09 14:29:00,Jeddah,Normal,Lunch,Saudi,Najd Kitchen,3,148.35,15.0,155.86,16,E-Wallet,9.1
FD-00283,2025-09-17 19:11:00,Khobar,Member,Dinner,Italian,Pasta House,6,233.36,4.63,242.3,50,Credit Card,7.6
FD-00284,2025-06-02 14:52:00,Dammam,Normal,Lunch,American,Family Grill,5,139.85,4.78,147.01,30,Credit Card,8.4
FD-00285,2025-08-02 18:47:00,Jeddah,Member,Dinner,Italian,Taste of Jeddah,2,40.45,5.27,45.62,28,Credit Card,8.6
FD-00286,2025-11-01 19:13:00,Makkah,Member,Dinner,Saudi,Rice & Spice,5,152.05,7.97,165.31,31,Credit Card,8.2
FD-00287,2025-07-08 10:42:00,Jeddah,Normal,Breakfast,Healthy,Wok Express,3,111.79,11.93,133.6,23,E-Wallet,8.3
FD-00288,2025-10-02 17:23:00,Riyadh,Member,Snack,Italian,Daily Dish,3,96.64,8.93,111.73,44,Cash,7.3
FD-00289,2025-11-19 16:20:00,Khobar,Normal,Snack,Saudi,Daily Dish,6,177.02,9.87,183.07,38,E-Wallet,9.0
FD-00290,2025-04-05 14:09:00,Jeddah,Member,Lunch,Healthy,Burger Hub,8,295.77,8.44,307.45,32,E-Wallet,8.3
FD-00291,2025-06-05 16:47:00,Jeddah,Member,Snack,Asian,Rice & Spice,7,221.42,5.62,227.36,31,E-Wallet,9.0
FD-00292,2025-03-31 17:13:00,Riyadh,Member,Snack,Asian,Family Grill,4,90.26,13.27,105.56,23,E-Wallet,9.2
FD-00293,2025-07-29 20:34:00,Dammam,Normal,Dinner,Healthy,Najd Kitchen,6,161.79,7.34,169.82,38,E-Wallet,9.0
FD-00294,2025-02-15 16:02:00,Makkah,Member,Snack,Asian,Urban Bites,6,159.8,12.58,174.6,26,Credit Card,10.0
FD-00295,2025-01-11 12:55:00,Makkah,Member,Lunch,Healthy,Daily Dish,2,29.88,9.63,24.27,38,E-Wallet,8.3
FD-00296,2025-11-03 16:14:00,Dammam,Member,Snack,Italian,Burger Hub,6,173.65,9.71,187.87,35,Credit Card,8.0
FD-00297,2025-07-16 22:50:00,Riyadh,Normal,Dinner,American,Urban Bites,4,173.0,5.48,176.16,46,E-Wallet,8.0
FD-00298,2025-11-20 22:35:00,Dammam,Normal,Dinner,American,Green Bowl,8,227.56,5.34,233.33,24,E-Wallet,8.6
FD-00299,2025-06-29 10:43:00,Riyadh,Member,Breakfast,Saudi,Burger Hub,1,20.23,11.78,35.03,20,E-Wallet,8.7
FD-00300,2025-01-23 18:15:00,Riyadh,Member,Dinner,Healthy,Burger Hub,8,201.79,8.21,209.98,34,Cash,8.6
FD-00301,2025-12-18 22:00:00,Khobar,Member,Dinner,Healthy,Taste of Jeddah,3,142.33,7.98,151.88,30,E-Wallet,9.3
FD-00302,2025-06-03 07:13:00,Makkah,Normal,Breakfast,Healthy,Najd Kitchen,5,79.8,9.93,92.77,44,E-Wallet,8.5
FD-00303,2025-03-27 17:56:00,Makkah,Member,Snack,Asian,Family Grill,8,127.3,6.59,131.6,21,Credit Card,8.5
FD-00304,2025-01-25 17:04:00,Riyadh,Normal,Snack,Healthy,Najd Kitchen,4,59.38,5.89,62.47,48,E-Wallet,8.4
FD-00305,2025-04-03 20:21:00,Makkah,Member,Dinner,Healthy,Taste of Jeddah,7,291.31,9.52,299.02,34,Credit Card,8.2
FD-00306,2025-10-18 13:04:00,Dammam,Member,Lunch,Asian,Urban Bites,8,354.63,14.76,367.32,40,Cash,8.4
FD-00307,2025-02-28 22:42:00,Makkah,Member,Dinner,Asian,Rice & Spice,2,42.71,14.81,58.59,37,Credit Card,9.6
FD-00308,2025-08-02 15:23:00,Riyadh,Member,Lunch,Saudi,Taste of Jeddah,8,282.01,13.33,298.61,39,E-Wallet,8.1
FD-00309,2025-05-14 20:42:00,Riyadh,Member,Dinner,Italian,Green Bowl,4,151.0,5.32,162.15,32,Cash,9.1
FD-00310,2025-01-25 15:47:00,Dammam,Member,Lunch,American,Najd Kitchen,6,191.59,13.73,203.7,25,Cash,7.8
FD-00311,2025-09-17 18:13:00,Dammam,Member,Snack,American,Wok Express,3,94.98,11.55,106.83,38,E-Wallet,8.3
FD-00312,2025-01-25 22:06:00,Riyadh,Normal,Dinner,American,Rice & Spice,8,235.38,6.99,241.87,35,Cash,8.6
FD-00313,2025-04-02 20:22:00,Khobar,Member,Dinner,Italian,Pasta House,6,132.96,8.31,139.0,28,Credit Card,9.2
FD-00314,2025-11-22 15:04:00,Khobar,Normal,Lunch,Healthy,Taste of Jeddah,5,82.06,9.36,87.41,43,Credit Card,7.0
FD-00315,2025-09-06 12:56:00,Riyadh,Normal,Lunch,Italian,Najd Kitchen,2,53.26,5.75,50.61,56,E-Wallet,6.8
FD-00316,2025-02-24 22:24:00,Jeddah,Member,Dinner,Italian,Taste of Jeddah,6,241.64,6.06,249.43,43,Cash,7.1
FD-00317,2025-12-11 14:16:00,Riyadh,Member,Lunch,Healthy,Taste of Jeddah,1,22.29,11.73,31.38,20,E-Wallet,9.6
FD-00318,2025-10-27 16:10:00,Riyadh,Normal,Snack,American,Urban Bites,2,55.37,10.68,67.76,45,Cash,7.9
FD-00319,2025-06-20 13:07:00,Riyadh,Normal,Lunch,Italian,Family Grill,8,335.68,12.51,350.99,39,Credit Card,7.9
FD-00320,2025-06-19 13:48:00,Jeddah,Normal,Lunch,American,Burger Hub,6,108.13,8.2,116.38,43,Cash,8.0
FD-00321,2025-12-22 08:20:00,Makkah,Normal,Breakfast,American,Najd Kitchen,7,276.9,10.11,285.19,20,E-Wallet,8.4
FD-00322,2025-10-05 09:44:00,Riyadh,Member,Breakfast,Healthy,Green Bowl,2,26.45,7.52,40.41,48,E-Wallet,8.7
FD-00323,2025-01-21 22:06:00,Makkah,Member,Dinner,Italian,Daily Dish,8,325.36,5.03,337.96,30,E-Wallet,8.9
FD-00324,2025-11-26 16:33:00,Riyadh,Member,Snack,Asian,Rice & Spice,4,79.41,12.0,92.99,30,Credit Card,8.9
FD-00325,2025-01-02 14:50:00,Riyadh,Normal,Lunch,Asian,Pasta House,8,389.76,5.02,394.43,43,E-Wallet,7.7
FD-00326,2025-12-09 19:16:00,Khobar,Normal,Dinner,Saudi,Najd Kitchen,3,116.42,7.2,129.0,35,Credit Card,8.4
FD-00327,2025-07-07 18:12:00,Riyadh,Normal,Dinner,Healthy,Daily Dish,3,156.94,7.95,155.72,51,Credit Card,7.0
FD-00328,2025-07-27 19:43:00,Riyadh,Member,Dinner,Italian,Najd Kitchen,2,81.14,9.24,91.87,45,E-Wallet,7.9
FD-00329,2025-09-21 13:39:00,Makkah,Member,Lunch,Healthy,Family Grill,1,15.47,8.77,18.85,18,Cash,9.5
FD-00330,2025-04-27 07:30:00,Riyadh,Normal,Breakfast,Italian,Najd Kitchen,7,245.87,13.53,252.68,41,Credit Card,8.8
FD-00331,2025-11-12 15:11:00,Jeddah,Member,Lunch,Saudi,Taste of Jeddah,6,272.64,8.32,290.35,15,Cash,9.5
FD-00332,2025-01-03 17:29:00,Jeddah,Member,Snack,Italian,Wok Express,1,31.63,8.38,42.05,18,E-Wallet,9.9
FD-00333,2025-08-31 22:47:00,Khobar,Member,Dinner,American,Family Grill,2,68.4,14.16,84.12,34,E-Wallet,9.0
FD-00334,2025-02-23 19:54:00,Jeddah,Normal,Dinner,Asian,Pasta House,6,290.91,12.22,305.9,43,E-Wallet,8.0
FD-00335,2025-12-10 18:55:00,Khobar,Normal,Dinner,Healthy,Taste of Jeddah,2,54.8,5.86,59.78,37,Credit Card,10.0
FD-00336,2025-06-27 14:24:00,Jeddah,Normal,Lunch,Saudi,Daily Dish,1,32.1,12.44,43.38,41,E-Wallet,8.9
FD-00337,2025-02-05 16:35:00,Dammam,Normal,Snack,American,Pasta House,4,133.38,7.85,142.52,26,Cash,9.9
FD-00338,2025-10-11 09:02:00,Khobar,Normal,Breakfast,Italian,Rice & Spice,4,94.52,5.26,102.51,39,E-Wallet,9.7
FD-00339,2025-11-10 13:55:00,Riyadh,Normal,Lunch,Healthy,Taste of Jeddah,6,235.75,7.37,245.58,38,E-Wallet,8.2
FD-00340,2025-11-20 22:23:00,Riyadh,Member,Dinner,American,Green Bowl,4,100.0,14.95,116.83,42,E-Wallet,8.4
FD-00341,2025-05-21 09:14:00,Dammam,Member,Breakfast,Asian,Najd Kitchen,5,111.64,11.9,125.77,45,E-Wallet,9.3
FD-00342,2025-03-21 10:36:00,Jeddah,Normal,Breakfast,Saudi,Urban Bites,7,148.18,14.46,160.12,44,Cash,9.3
FD-00343,2025-12-18 08:33:00,Riyadh,Normal,Breakfast,Healthy,Green Bowl,2,57.43,12.29,69.47,33,E-Wallet,8.8
FD-00344,2025-02-07 15:44:00,Riyadh,Member,Lunch,Italian,Pasta House,5,211.64,5.45,224.25,34,Cash,7.9
FD-00345,2025-12-27 13:45:00,Riyadh,Member,Lunch,Italian,Burger Hub,4,195.82,11.42,207.09,35,E-Wallet,9.3
FD-00346,2025-07-22 14:44:00,Jeddah,Member,Lunch,Italian,Taste of Jeddah,2,83.91,11.98,97.66,27,Credit Card,8.5
FD-00347,2025-02-01 08:52:00,Khobar,Member,Breakfast,Asian,Rice & Spice,8,214.91,5.73,224.23,70,E-Wallet,6.8
FD-00348,2025-11-14 14:18:00,Khobar,Normal,Lunch,Italian,Pasta House,3,55.85,7.38,62.56,29,E-Wallet,8.4
FD-00349,2025-05-01 22:42:00,Jeddah,Member,Dinner,Saudi,Taste of Jeddah,6,201.8,5.76,205.68,48,Credit Card,7.6
FD-00350,2025-06-20 21:48:00,Makkah,Normal,Dinner,Saudi,Rice & Spice,5,196.03,7.94,202.7,21,E-Wallet,9.5
FD-00351,2025-11-23 13:54:00,Dammam,Member,Lunch,Asian,Pasta House,7,309.25,5.94,321.86,15,E-Wallet,9.3
FD-00352,2025-05-20 13:25:00,Dammam,Member,Lunch,American,Pasta House,8,201.1,14.21,217.95,41,E-Wallet,7.7
FD-00353,2025-02-03 15:48:00,Dammam,Member,Lunch,Saudi,Daily Dish,4,63.29,4.25,63.34,34,E-Wallet,8.9
FD-00354,2025-05-25 13:30:00,Riyadh,Normal,Lunch,Asian,Green Bowl,6,206.23,7.26,217.02,43,Credit Card,8.5
FD-00355,2025-02-28 21:37:00,Khobar,Member,Dinner,American,Family Grill,6,147.43,10.11,153.98,29,Credit Card,10.0
FD-00356,2025-07-20 21:56:00,Jeddah,Normal,Dinner,American,Green Bowl,2,73.25,12.96,78.19,49,Cash,6.8
FD-00357,2025-02-01 09:38:00,Makkah,Normal,Breakfast,Saudi,Green Bowl,3,75.03,12.81,98.35,41,E-Wallet,7.8
FD-00358,2025-12-15 14:54:00,Jeddah,Member,Lunch,Saudi,Wok Express,7,148.02,9.62,156.22,45,Cash,7.9
FD-00359,2025-06-27 09:06:00,Jeddah,Member,Breakfast,American,Najd Kitchen,3,114.72,10.12,118.74,23,E-Wallet,10.0
FD-00360,2025-09-19 15:55:00,Riyadh,Normal,Lunch,Healthy,Najd Kitchen,7,216.62,10.28,229.4,48,Credit Card,8.1
FD-00361,2025-12-25 14:41:00,Jeddah,Member,Lunch,Italian,Family Grill,6,233.1,9.92,240.08,17,Credit Card,9.2
FD-00362,2025-04-01 15:44:00,Jeddah,Member,Lunch,Saudi,Green Bowl,3,57.4,4.5,60.08,36,Credit Card,9.2
FD-00363,2025-02-13 14:43:00,Jeddah,Member,Lunch,Healthy,Najd Kitchen,7,139.0,6.53,142.07,35,E-Wallet,9.3
FD-00364,2025-02-14 21:36:00,Jeddah,Normal,Dinner,Saudi,Burger Hub,8,369.75,7.3,379.1,29,E-Wallet,8.9
FD-00365,2025-01-30 16:21:00,Riyadh,Member,Snack,Italian,Burger Hub,3,112.0,12.01,132.03,34,E-Wallet,8.9
FD-00366,2025-05-02 22:26:00,Dammam,Member,Dinner,Asian,Rice & Spice,6,200.96,10.86,207.91,55,E-Wallet,7.4
FD-00367,2025-08-30 21:35:00,Makkah,Member,Dinner,Italian,Najd Kitchen,1,22.88,7.15,28.29,50,Cash,7.8
FD-00368,2025-02-27 22:51:00,Dammam,Member,Dinner,Italian,Daily Dish,2,104.71,7.79,116.75,36,E-Wallet,8.9
FD-00369,2025-10-06 10:19:00,Riyadh,Member,Breakfast,Saudi,Pasta House,1,37.74,11.07,39.05,41,Credit Card,9.6
FD-00370,2025-06-14 14:49:00,Riyadh,Normal,Lunch,Saudi,Daily Dish,3,144.12,10.26,153.27,20,Credit Card,8.6
FD-00371,2025-09-29 21:08:00,Riyadh,Normal,Dinner,Saudi,Burger Hub,6,137.91,14.76,150.44,32,Credit Card,8.1
FD-00372,2025-09-19 20:22:00,Makkah,Member,Dinner,American,Taste of Jeddah,2,66.37,7.82,80.59,26,E-Wallet,9.4
FD-00373,2025-12-10 16:24:00,Dammam,Normal,Snack,Saudi,Burger Hub,1,15.19,14.85,35.4,23,Credit Card,9.3
FD-00374,2025-06-10 07:17:00,Jeddah,Normal,Breakfast,Healthy,Daily Dish,8,309.33,9.68,318.75,31,E-Wallet,8.2
FD-00375,2025-02-23 09:41:00,Dammam,Normal,Breakfast,American,Najd Kitchen,2,77.98,13.2,97.25,36,E-Wallet,8.1
FD-00376,2025-06-13 15:07:00,Jeddah,Member,Lunch,Healthy,Pasta House,6,132.87,6.41,143.4,33,E-Wallet,8.6
FD-00377,2025-11-21 12:31:00,Riyadh,Member,Lunch,American,Urban Bites,6,168.11,9.8,174.58,33,E-Wallet,9.4
FD-00378,2025-03-17 08:52:00,Riyadh,Normal,Breakfast,American,Burger Hub,1,31.62,8.38,37.18,38,E-Wallet,6.8
FD-00379,2025-01-26 21:15:00,Riyadh,Normal,Dinner,American,Family Grill,3,85.43,4.42,80.4,40,E-Wallet,8.2
FD-00380,2025-04-01 20:20:00,Jeddah,Normal,Dinner,Asian,Daily Dish,5,267.67,11.91,285.56,41,Cash,7.4
FD-00381,2025-03-29 20:12:00,Riyadh,Member,Dinner,Saudi,Rice & Spice,2,34.31,7.04,40.51,33,Credit Card,8.8
FD-00382,2025-03-18 20:07:00,Khobar,Member,Dinner,American,Pasta House,3,109.79,10.17,121.1,35,E-Wallet,9.2
FD-00383,2025-08-22 10:49:00,Makkah,Normal,Breakfast,Italian,Family Grill,1,30.85,9.96,35.74,36,E-Wallet,8.8
FD-00384,2025-06-03 16:30:00,Riyadh,Normal,Snack,Asian,Najd Kitchen,4,117.88,12.69,129.46,36,Cash,8.5
FD-00385,2025-08-08 20:43:00,Jeddah,Normal,Dinner,Asian,Taste of Jeddah,5,107.11,14.45,117.41,20,E-Wallet,9.2
FD-00386,2025-12-12 07:04:00,Jeddah,Normal,Breakfast,Saudi,Pasta House,8,305.08,8.53,308.99,23,E-Wallet,9.1
FD-00387,2025-06-10 16:13:00,Makkah,Normal,Snack,Asian,Green Bowl,4,82.65,5.45,86.16,29,E-Wallet,9.2
FD-00388,2025-07-13 09:09:00,Riyadh,Member,Breakfast,Italian,Urban Bites,6,185.71,5.88,192.46,31,Credit Card,10.0
FD-00389,2025-08-18 12:03:00,Khobar,Member,Lunch,Healthy,Pasta House,8,265.43,8.46,275.08,40,E-Wallet,7.9
FD-00390,2025-03-03 17:47:00,Jeddah,Member,Snack,Asian,Rice & Spice,3,80.17,13.76,99.09,33,E-Wallet,7.4
FD-00391,2025-11-13 22:13:00,Khobar,Member,Dinner,Italian,Urban Bites,1,41.51,10.75,55.34,44,E-Wallet,7.0
FD-00392,2025-12-24 18:01:00,Riyadh,Normal,Dinner,Italian,Pasta House,3,118.53,13.75,129.82,24,E-Wallet,9.4
FD-00393,2025-07-05 12:24:00,Dammam,Member,Lunch,American,Family Grill,8,197.98,13.22,212.63,41,Credit Card,7.7
FD-00394,2025-07-04 22:38:00,Dammam,Member,Dinner,American,Family Grill,8,463.62,7.42,469.01,37,Credit Card,8.4
